Name;Acronym;State Acronym;Institution Type
Faculdade de Ciências Gerenciais;FAITA;SP;Outros
Faculdade de Ciências Gerenciais;FACIG;MG;Outros
Faculdade de Ciências Gerenciais - Cotia;FCG - Cotia;SP;Outros
Faculdade de Ciências Gerenciais Alves Fortes;FACE - ALFOR;MG;Outros
Faculdade de Ciências Gerenciais da Bahia;UNICENID;BA;Outros
Faculdade de Ciências Gerenciais de Bicas;FCGB;MG;Outros
Faculdade de Ciências Gerenciais de Dracena;FCGD;SP;Outros
Faculdade de Ciências Gerenciais de Manhuaçu;FACIG;MG;Outros
Faculdade de Ciências Gerênciais de Vilhena;FCGV;RO;Outros
Faculdade de Ciências Gerenciais Padre Arnaldo Janssen;FAJANSSEN;MG;Outros
Faculdade de Ciências Gerencias de São Gotardo;CESG;MG;Outros
Faculdade de Ciências Humanas;IMENSU;SP;Outros
Faculdade de Ciências Humanas de Aguaí;Facha;SP;Outros
Faculdade de Ciências Humanas de Curvelo;FEC;MG;Outros
Faculdade de Ciências Humanas de Fortaleza;FCHFOR;CE;Outros
Faculdade de Ciências Humanas de Garça;FAHU;SP;Outros
Faculdade de Ciências Humanas de Itabira;FACHI;MG;Outros
Faculdade de Ciências Humanas de Olinda;FACHO;PE;Outros
Faculdade de Ciências Humanas de Pernambuco;FCHPE;PE;Outros
Faculdade de Ciências Humanas de Vitória;FCHV;ES;Outros
Faculdade de Ciências Humanas do Sertão Central;FACHUSC;PE;Outros
Faculdade de Ciências Humanas do Sul Paulista;FACHI;SP;Outros
Faculdade de Ciências Humanas do Vale do Rio Grande;FCHVRG;SP;Outros
Faculdade de Ciências Humanas e Biológicas e da Saúde;UNICEN;MT;Outros
Faculdade de Ciências Humanas e da Saúde;SESPA;MG;Outros
Faculdade de Ciências Humanas e Jurídicas de Teresina;FCHJT;PI;Outros
Faculdade de Ciências Humanas e Sociais;FCHS;RJ;Outros
Faculdade de Ciências Humanas e Sociais;FUCAMP;MG;Outros
Faculdade de Ciências Humanas e Sociais;Faculdade AGES;BA;Outros
Faculdade de Ciências Humanas e Sociais Aplicadas;FACSÃOLUÍS;MA;Outros
Faculdade de Ciências Humanas e Sociais Aplicadas do Cabo de Santo Agostinho;FACHUCA;PE;Outros
Faculdade de Ciências Humanas e Sociais de Igarassu;FACIG;PE;Outros
